Region, County Name, District Name, District Number, Charter Status, Eligible For Free Meals Count, Eligible For Free Meals Percent, Eligible For Reduced-Price Meals Count, Eligible For Reduced-Price Meals Percent, Other Economically Disadvantaged Count, Other Economically Disadvantaged Percent, Not Economically Disadvantaged Count, Not Economically Disadvantaged Percent, Total Count
13, TRAVIS COUNTY, AUSTIN DISCOVERY SCHOOL,227821, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,254,97.32,261
11, TARRANT COUNTY, TREETOPS SCHOOL INTERNATIONAL,220801, OPEN ENROLLMENT CHARTER,-999,-999,20,5.59,0,0,321,89.66,358
20, BEXAR COUNTY, ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY, 015836, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,424,84.8,500
13, HAYS COUNTY, KATHERINE ANNE PORTER SCHOOL,105801, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,81,65.85,123
13, HAYS COUNTY, TEXAS PREPARATORY SCHOOL,105802, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,61,62.24,98
11, SOMERVELL COUNTY, BRAZOS RIVER CHARTER SCHOOL,213801, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,37,56.06,66
20, BEXAR COUNTY, HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN, 015833, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,41,54.67,75
10, DALLAS COUNTY, ST ANTHONY SCHOOL, 057836, OPEN ENROLLMENT CHARTER,-999,-999,10,3.03,229,69.39,73,22.12,330
11, TARRANT COUNTY, ACADEMY OF VISUAL AND PERFORMING ARTS,220821, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,105
06, BRAZOS COUNTY, ARROW ACADEMY, 021805, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,-999,-999,-999,-999,594
20, BEXAR COUNTY, BEXAR COUNTY ACADEMY, 015809, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,198
20, REAL COUNTY, BIG SPRINGS CHARTER SCHOOL,193801, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,185
06, BRAZOS COUNTY, BRAZOS SCHOOL FOR INQUIRY & CREATIVITY, 021803, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,292
02, NUECES COUNTY, DR M L GARZA-GONZALEZ CHARTER SCHOOL,178801, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,162
04, HARRIS COUNTY, DRAW ACADEMY,101856, OPEN ENROLLMENT CHARTER,-999,-999,0,0,0,0,-999,-999,677
04, HARRIS COUNTY, ELEVATE COLLEGIATE CHARTER SCHOOL,101877, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,112,64.37,-999,-999,174
11, ERATH COUNTY, ERATH EXCELS ACADEMY INC, 072802, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,76,67.26,-999,-999,113
20, BEXAR COUNTY, ESSENCE PREPARATORY CHARTER SCHOOL, 015844, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,180
04, HARRIS COUNTY, EXCEL ACADEMY,101811, OPEN ENROLLMENT CHARTER,-999,-999,0,0,0,0,-999,-999,234
10, ELLIS COUNTY, FAITH FAMILY ACADEMY, 070801, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,2882
10, DALLAS COUNTY, INSPIRED VISION ACADEMY, 057830, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,1255
11, HOOD COUNTY, LAKE GRANBURY ACADEMY CHARTER SCHOOL,111801, OPEN ENROLLMENT CHARTER,-999,-999,0,0,0,0,-999,-999,41
20, BEXAR COUNTY, PROMESA ACADEMY CHARTER SCHOOL, 015839, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,421
20, BEXAR COUNTY, SAN ANTONIO PREPARATORY SCHOOLS, 015840, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,139
05, JEFFERSON COUNTY, TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,123803, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,429
04, HARRIS COUNTY, THE PRO-VISION ACADEMY,101868, OPEN ENROLLMENT CHARTER,-999,-999,0,0,-999,-999,-999,-999,395
04, HARRIS COUNTY, YELLOWSTONE COLLEGE PREPARATORY,101873, OPEN ENROLLMENT CHARTER,-999,-999,-999,-999,0,0,-999,-999,272
10, COLLIN COUNTY, LOVEJOY ISD, 043919, TRADITIONAL ISD/CSD,-999,-999,-999,-999,88,2.15,3934,96.14,4092
11, COOKE COUNTY, LINDSAY ISD, 049907, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,437,90.29,484
12, FALLS COUNTY, WESTPHALIA ISD, 073904, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,133,85.26,156
20, KARNES COUNTY, FALLS CITY ISD,128904, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,364,83.49,436
12, MCLENNAN COUNTY, CRAWFORD ISD,161901, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,492,82.14,599
13, TRAVIS COUNTY, UNIVERSITY OF TEXAS AT AUSTIN H S,227506, TRADITIONAL ISD/CSD,-999,-999,-999,-999,32,4.06,639,81.09,788
03, LAVACA COUNTY, SWEET HOME ISD,143905, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,120,81.08,148
14, TAYLOR COUNTY, JIM NED CISD,221911, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,1310,80.37,1630
16, CASTRO COUNTY, NAZARETH ISD, 035903, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,196,79.35,247
16, CARSON COUNTY, PANHANDLE ISD, 033902, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,468,74.88,625
13, FAYETTE COUNTY, FAYETTEVILLE ISD, 075906, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,204,70.34,290
03, LAVACA COUNTY, SHINER ISD,143903, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,501,69.87,717
17, DAWSON COUNTY, KLONDIKE ISD, 058905, TRADITIONAL ISD/CSD,-999,-999,0,0,-999,-999,175,69.17,253
03, DEWITT COUNTY, MEYERSVILLE ISD, 062906, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,107,69.03,155
16, CARSON COUNTY, GROOM ISD, 033901, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,93,68.89,135
16, ROBERTS COUNTY, MIAMI ISD,197902, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,135,68.18,198
04, LIBERTY COUNTY, DEVERS ISD,146903, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,126,68.11,185
09, WILBARGER COUNTY, NORTHSIDE ISD,244905, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,157,67.09,234
02, NUECES COUNTY, PORT ARANSAS ISD,178908, TRADITIONAL ISD/CSD,-999,-999,23,4.36,61,11.57,346,65.65,527
18, UPTON COUNTY, RANKIN ISD,231902, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,188,63.73,295
16, HUTCHINSON COUNTY, PLEMONS-STINNETT-PHILLIPS CISD,117904, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,347,61.52,564
07, ANDERSON COUNTY, SLOCUM ISD, 001909, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,204,61.45,332
13, FAYETTE COUNTY, ROUND TOP-CARMINE ISD, 075908, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,143,59.58,240
11, SOMERVELL COUNTY, GLEN ROSE ISD,213901, TRADITIONAL ISD/CSD,-999,-999,-999,-999,-999,-999,1200,58.25,2060
11, COOKE COUNTY, SIVELLS BEND ISD, 049909, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,43,58.11,74
13, LEE COUNTY, LEXINGTON ISD,144902, TRADITIONAL ISD/CSD,-999,-999,-999,-999,0,0,609,57.13,1066
